sample_name	assembly	type
APP803assembly	/Users/jacquesolivier/Downloads/APPSnonculture_colonyassembly2/app/APP803assembly.fasta	Assembly
APP201assembly	/Users/jacquesolivier/Downloads/APPSnonculture_colonyassembly2/app/APP201assembly.fasta	Assembly
APP801assembly	/Users/jacquesolivier/Downloads/APPSnonculture_colonyassembly2/app/APP801assembly.fasta	Assembly
APP802assembly	/Users/jacquesolivier/Downloads/APPSnonculture_colonyassembly2/app/APP802assembly.fasta	Assembly
